TTL,IP(1),AVG (1),ZRTT(1),IP(2),AVG (2),ZRTT(2),IP(3),AVG (3),ZRTT(3),IP(4),AVG (4),ZRTT(4),Locacion,Router,Empresa
1,192.168.1.1,0.00610,-0.31627,192.168.1.1,0.00431,-0.34264,192.168.1.1,0.00534,-0.29171,192.168.1.1,0.00757,-0.32515,Buenos Aires Argentina ,,
2,181.167.118.1,0.04852,0.58053,181.167.118.1,0.02546,0.11279,181.167.118.1,0.01501,-0.06943,181.167.118.1,0.01059,-0.25862,Buenos Aires Argentina,1-118-167-181.fibertel.com.ar,Cablevision.SA
3,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,,,
4,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,,,
5,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,,,
6,200.89.164.13,-0.00283,-0.50506,200.89.164.13,0.00051,-0.42439,200.89.164.13,-0.00024,-0.42017,200.89.164.13,0.00408,-0.40184,Buenos Aires Argentina,13-164-89-200.fibertel.com.ar,Cablevision.SA
7,200.89.165.250,-0.00783,-0.61066,200.89.165.250,0.00233,-0.38522,200.89.165.250,0.00495,-0.30066,200.89.165.250,-0.00067,-0.50659,Buenos Aires Argentina,250-165-89-200.fibertel.com.ar,Cablevision.SA
8,159.63.23.5,-0.01060,-0.66932,159.63.23.5,-0.00573,-0.55868,159.63.23.5,-0.00797,-0.59779,159.63.23.5,0.00534,-0.37430,San Diego California EEUU,ge-0-1-2.ar3.eze1.gblx.net,Global Crossing
9,67.16.134.218,0.12566,2.21141,Desconocido,-,-,67.16.134.218,0.14126,2.83451,67.16.134.218,0.13527,2.48799,Manhattan Illinois EEUU,po4-20G.ar1.MIA2.gblx.,Global Crossing
10,66.110.9.61,0.00393,-0.36206,66.110.9.61,0.12891,2.33992,66.110.9.61,0.00035,-0.40660,66.110.9.61,-0.00552,-0.61345,Montreal Quebec Canada,ix-2-3-1-0.tcore1.MLN-Miami.as6453.net,CGI Group
11,63.243.152.62,0.08178,1.28382,63.243.152.62,0.05098,0.66224,63.243.152.62,0.05493,0.84890,63.243.152.62,0.04280,0.45113,Stoney Creek Ontario Canada,if-1-2.tcore2.MLN-Miami.as6453.net,Velcom
12,66.110.72.6,-0.00194,-0.48617,66.110.72.6,-0.00701,-0.58632,66.110.72.6,0.02656,0.19639,66.110.72.6,-0.00937,-0.69816,Montreal Quebec Canada,if-3-2.tcore2.DT8-Dallas.as6453.net,Netnexus Inc
13,66.110.57.82,0.00109,-0.42202,66.110.57.82,0.01193,-0.17862,66.110.57.82,0.00931,-0.20057,66.110.57.82,0.01830,-0.08868,Montreal Quebec Canada,if-8-2.tcore1.LVW-Los-Angeles.as6453.net,Wavex Fortis Network for Malaysia
14,66.110.59.182,-0.00447,-0.53958,66.110.59.182,0.00403,-0.34869,66.110.59.182,-0.01224,-0.69600,66.110.59.182,-0.00501,-0.60220,Los Angeles California EEUU,,Subic Telecommunications Co. Inc.
15,101.4.117.213,0.15674,2.86851,101.4.117.213,0.16035,3.01692,101.4.117.213,0.13929,2.78901,101.4.117.213,0.16061,3.04625,Bejing Bejing China,,Cernet Corporation NOC 
16,101.4.117.101,0.00429,-0.35446,101.4.117.101,-0.00214,-0.48149,101.4.117.101,-0.00747,-0.58646,Desconocido,-,-,Bejing Bejing China ,,Cernet Corporation NOC 
17,101.4.117.50,0.00147,-0.41404,101.4.117.50,-0.00210,-0.48069,101.4.117.50,-0.00459,-0.52018,101.4.117.50,-0.00200,-0.53580,Bejing Bejing China,,Cernet Corporation NOC 
18,101.4.115.69,0.02730,0.13199,101.4.115.69,-0.00469,-0.53643,101.4.115.69,0.00184,-0.37222,101.4.115.69,0.01081,-0.25365,Bejing Bejing China,,Cernet Corporation NOC 
19,101.4.112.90,0.00882,-0.25870,Desconocido,-,-,101.4.112.90,0.00672,-0.25993,101.4.112.90,-0.00647,-0.63442,Bejing Bejing China, Cernet Corporation NOC ,
20,101.4.117.81,-0.00065,-0.45877,101.4.117.81,0.00207,-0.39085,101.4.117.81,-0.00066,-0.42980,101.4.117.81,0.01001,-0.27124,Bejing Bejing China,,Cernet Corporation NOC 
21,202.112.41.178,-0.03880,-1.26532,202.112.41.178,-0.00170,-0.47202,202.112.41.178,-0.00918,-0.62564,202.112.41.178,-0.00950,-0.70118,Shanghai Shanghai China,,CERNET super computer center
22,202.112.41.182,-0.01474,-0.75684,202.112.41.182,0.01067,-0.20563,202.112.41.182,0.01336,-0.10723,202.112.41.182,0.03053,0.18082,Shanghai Shanghai China,,CERNET super computer center
23,162.105.252.133,0.03728,0.34304,162.105.252.133,-0.01416,-0.74021,162.105.252.133,-0.01608,-0.78441,162.105.252.133,0.02683,0.09911,Bejing Bejing China,,China Education and Research Network Center 
24,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,,,
25,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,,,
26,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,Desconocido,-,-,,,
