ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.ru.ac.za,0.8,9,0,9,0,0.491258496,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,29,0,29,0,0.491952102,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,49,0,49,0,0.487266643,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,69,0,69,0,0.491353875,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,89,0,89,0,0.528951062,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,109,9,100,0.082568807,0.49806567,8.557580933,
www.ru.ac.za,0.8,129,22,107,0.170542636,0.503248743,5.893135757,
www.ru.ac.za,0.8,149,35,114,0.234899329,0.486802347,5.191012542,
www.ru.ac.za,0.81,9,0,9,0,0.491765841,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,29,0,29,0,0.491989597,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,49,0,49,0,0.487074949,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,69,0,69,0,0.491326339,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,89,0,89,0,0.529218829,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,109,9,100,0.082568807,0.498747451,8.545882839,
www.ru.ac.za,0.81,129,22,107,0.170542636,0.50360775,5.888934705,
www.ru.ac.za,0.81,149,35,114,0.234899329,0.487445857,5.184159534,
www.ru.ac.za,0.82,9,0,9,0,0.492331137,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,29,0,29,0,0.492026379,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,49,0,49,0,0.486890797,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,69,0,69,0,0.491276628,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,89,0,89,0,0.529435673,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,109,9,100,0.082568807,0.499487784,8.533216264,
www.ru.ac.za,0.82,129,22,107,0.170542636,0.503978583,5.884601564,
www.ru.ac.za,0.82,149,35,114,0.234899329,0.488130819,5.176884948,
www.ru.ac.za,0.83,9,0,9,0,0.492957955,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,29,0,29,0,0.492063949,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,49,0,49,0,0.486716277,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,69,0,69,0,0.491203858,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,89,0,89,0,0.529590725,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,109,9,100,0.082568807,0.500288401,8.519560468,
www.ru.ac.za,0.83,129,22,107,0.170542636,0.504366403,5.880076754,
www.ru.ac.za,0.83,149,35,114,0.234899329,0.488861682,5.169145351,
www.ru.ac.za,0.84,9,0,9,0,0.493650069,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.84,29,0,29,0,0.492104948,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.84,49,0,49,0,0.486554005,No se han perdido paquetes, no se puede calcular el throughput
