ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.sfu.ca,0.8,9,0,9,0,0.278587768,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,29,0,29,0,0.267137679,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,49,0,49,0,0.267919772,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,69,0,69,0,0.264185742,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,89,0,89,0,0.2899193,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,109,1,108,0.009174312,0.263621416,48.50407086,
www.sfu.ca,0.8,129,1,128,0.007751938,0.269819629,51.55454323,
www.sfu.ca,0.8,149,1,148,0.006711409,0.269176699,55.53941504,
www.sfu.ca,0.81,9,0,9,0,0.279896669,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.81,29,0,29,0,0.266947895,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.81,49,0,49,0,0.267679143,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.81,69,0,69,0,0.26451138,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.81,89,0,89,0,0.290795242,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.81,109,1,108,0.009174312,0.263815223,48.46843822,
www.sfu.ca,0.81,129,1,128,0.007751938,0.269761521,51.56564842,
www.sfu.ca,0.81,149,1,148,0.006711409,0.269169228,55.54095655,
www.sfu.ca,0.82,9,0,9,0,0.281291585,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.82,29,0,29,0,0.266775418,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.82,49,0,49,0,0.267430084,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.82,69,0,69,0,0.26484021,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.82,89,0,89,0,0.291599341,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.82,109,1,108,0.009174312,0.264033301,48.42840575,
www.sfu.ca,0.82,129,1,128,0.007751938,0.269686302,51.58003078,
www.sfu.ca,0.82,149,1,148,0.006711409,0.269170981,55.54059483,
www.sfu.ca,0.83,9,0,9,0,0.282778411,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.83,29,0,29,0,0.266630232,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.83,49,0,49,0,0.267173926,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.83,69,0,69,0,0.265170103,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.83,89,0,89,0,0.292316696,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.83,109,1,108,0.009174312,0.264282915,48.38266543,
www.sfu.ca,0.83,129,1,128,0.007751938,0.269593612,51.59776471,
www.sfu.ca,0.83,149,1,148,0.006711409,0.26918302,55.53811073,
www.sfu.ca,0.84,9,0,9,0,0.284363394,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.84,29,0,29,0,0.266525555,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.84,49,0,49,0,0.266912641,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.84,69,0,69,0,0.265498396,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.84,89,0,89,0,0.292931073,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.84,109,1,108,0.009174312,0.264572449,48.32971802,
www.sfu.ca,0.84,129,1,128,0.007751938,0.269483638,51.61882131,
www.sfu.ca,0.84,149,1,148,0.006711409,0.269206135,55.53334199,
www.sfu.ca,0.85,9,0,9,0,0.286053159,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.85,29,0,29,0,0.266478811,No se han perdido paquetes, no se puede calcular el throughput
