ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.pku.edu.cn,0.8,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.8,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.81,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
