ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.ru.ac.za,0.8,9,0,9,0.0,0.491258495692,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,29,0,29,0.0,0.491952102376,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,49,0,49,0.0,0.487266643339,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,69,0,69,0.0,0.491353875209,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,89,0,89,0.0,0.528951061778,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.8,109,9,100,0.0825688073394,0.498065670368,8.55758093313
www.ru.ac.za,0.8,129,22,107,0.170542635659,0.503248742626,5.89313575667
www.ru.ac.za,0.8,149,35,114,0.234899328859,0.486802346989,5.19101254177
www.ru.ac.za,0.81,9,0,9,0.0,0.491765840687,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,29,0,29,0.0,0.491989597079,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,49,0,49,0.0,0.487074949419,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,69,0,69,0.0,0.491326338697,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,89,0,89,0.0,0.529218829122,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.81,109,9,100,0.0825688073394,0.498747451185,8.5458828392
www.ru.ac.za,0.81,129,22,107,0.170542635659,0.503607750477,5.88893470537
www.ru.ac.za,0.81,149,35,114,0.234899328859,0.487445857346,5.18415953383
www.ru.ac.za,0.82,9,0,9,0.0,0.492331136863,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,29,0,29,0.0,0.492026378507,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,49,0,49,0.0,0.486890797262,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,69,0,69,0.0,0.491276627914,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,89,0,89,0.0,0.529435672921,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.82,109,9,100,0.0825688073394,0.499487784273,8.53321626351
www.ru.ac.za,0.82,129,22,107,0.170542635659,0.503978583362,5.88460156359
www.ru.ac.za,0.82,149,35,114,0.234899328859,0.488130818828,5.17688494787
www.ru.ac.za,0.83,9,0,9,0.0,0.492957954593,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,29,0,29,0.0,0.492063948764,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,49,0,49,0.0,0.486716277494,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,69,0,69,0.0,0.491203857622,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,89,0,89,0.0,0.529590725104,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.83,109,9,100,0.0825688073394,0.500288401056,8.51956046789
www.ru.ac.za,0.83,129,22,107,0.170542635659,0.504366402614,5.88007675432
