ip,alpha,total,failed,succeeded,lossProbability,ertt,rttAvg,throughput
www.auckland.ac.nz,0.0,9,0,9,0.0,0.329669952393,0.334064563115,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.0,29,1,28,0.0344827586207,0.326998949051,0.336205933775,20.1696457994
www.auckland.ac.nz,0.0,49,1,48,0.0204081632653,0.320670843124,0.336118355393,26.7352466979
www.auckland.ac.nz,0.0,69,1,68,0.0144927536232,0.331440925598,0.334638381706,30.6947458475
www.auckland.ac.nz,0.0,89,1,88,0.0112359550562,0.320796012878,0.334360109134,36.0173429358
www.auckland.ac.nz,0.0,109,1,108,0.00917431192661,0.335653066635,0.334905767882,38.0950246656
www.auckland.ac.nz,0.0,129,1,128,0.0077519379845,0.327189922333,0.333644814789,42.5148416677
www.auckland.ac.nz,0.0,149,2,147,0.0134228187919,0.32967877388,0.333764528742,32.0651133572
www.auckland.ac.nz,0.1,9,0,9,0.0,0.329649795123,0.334064563115,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.1,29,1,28,0.0344827586207,0.326424141734,0.336205933775,20.205162964
www.auckland.ac.nz,0.1,49,1,48,0.0204081632653,0.320661831027,0.336118355393,26.7359980834
www.auckland.ac.nz,0.1,69,1,68,0.0144927536232,0.332011799846,0.334638381706,30.6419680849
www.auckland.ac.nz,0.1,89,1,88,0.0112359550562,0.322078722302,0.334360109134,35.8739004108
www.auckland.ac.nz,0.1,109,1,108,0.00917431192661,0.334937227566,0.334905767882,38.1764426291
www.auckland.ac.nz,0.1,129,1,128,0.0077519379845,0.327608555713,0.333644814789,42.4605142346
www.auckland.ac.nz,0.1,149,2,147,0.0134228187919,0.329630265135,0.333764528742,32.0698320939
www.auckland.ac.nz,0.2,9,0,9,0.0,0.329550404841,0.334064563115,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.2,29,1,28,0.0344827586207,0.326209337173,0.336205933775,20.2184677983
www.auckland.ac.nz,0.2,49,1,48,0.0204081632653,0.320972704528,0.336118355393,26.7101033166
www.auckland.ac.nz,0.2,69,1,68,0.0144927536232,0.332387114073,0.334638381706,30.6073687695
www.auckland.ac.nz,0.2,89,1,88,0.0112359550562,0.323555128316,0.334360109134,35.7102051462
www.auckland.ac.nz,0.2,109,1,108,0.00917431192661,0.33446626007,0.334905767882,38.2301995122
www.auckland.ac.nz,0.2,129,1,128,0.0077519379845,0.327835441455,0.333644814789,42.4311285
www.auckland.ac.nz,0.2,149,2,147,0.0134228187919,0.329646446165,0.333764528742,32.0682579136
www.auckland.ac.nz,0.3,9,0,9,0.0,0.329402274003,0.334064563115,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.3,29,1,28,0.0344827586207,0.326371071042,0.336205933775,20.2084484942
www.auckland.ac.nz,0.3,49,1,48,0.0204081632653,0.3218036205,0.336118355393,26.6411362508
www.auckland.ac.nz,0.3,69,1,68,0.0144927536232,0.332638969189,0.334638381706,30.5841946284
www.auckland.ac.nz,0.3,89,1,88,0.0112359550562,0.325189920652,0.334360109134,35.5306830701
www.auckland.ac.nz,0.3,109,1,108,0.00917431192661,0.334479400613,0.334905767882,38.2286975793
www.auckland.ac.nz,0.3,129,1,128,0.0077519379845,0.32787952691,0.333644814789,42.4254233692
www.auckland.ac.nz,0.3,149,2,147,0.0134228187919,0.329790926077,0.333764528742,32.054208955
www.auckland.ac.nz,0.4,9,0,9,0.0,0.329267155991,0.334064563115,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.4,29,1,28,0.0344827586207,0.326894543086,0.336205933775,20.1760877281
www.auckland.ac.nz,0.4,49,1,48,0.0204081632653,0.323255865857,0.336118355393,26.5214494314
www.auckland.ac.nz,0.4,69,1,68,0.0144927536232,0.332807042751,0.334638381706,30.5687490583
www.auckland.ac.nz,0.4,89,1,88,0.0112359550562,0.32692004927,0.334360109134,35.3426473356
www.auckland.ac.nz,0.4,109,1,108,0.00917431192661,0.335058028308,0.334905767882,38.1626786175
www.auckland.ac.nz,0.4,129,1,128,0.0077519379845,0.327752555901,0.333644814789,42.4418589354
www.auckland.ac.nz,0.4,149,2,147,0.0134228187919,0.330122496113,0.333764528742,32.0220141929
