ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.cam.ac.uk,0,9,5,4,0.555555556,0.269477844,6.097598402
www.cam.ac.uk,0,29,18,11,0.620689655,0.280040026,5.5512178
www.cam.ac.uk,0,49,32,17,0.653061224,0.30842495,4.913819256
www.cam.ac.uk,0,69,40,29,0.579710145,0.293183088,5.486574289
www.cam.ac.uk,0,89,59,30,0.662921348,0.295814991,5.085040873
www.cam.ac.uk,0,109,70,39,0.642201835,0.288813114,5.291672392
www.cam.ac.uk,0,129,78,51,0.604651163,0.269548893,5.843265648
www.cam.ac.uk,0,149,84,65,0.563758389,0.269956112,6.042351089
www.cam.ac.uk,0.1,9,5,4,0.555555556,0.271993701,6.041197523
www.cam.ac.uk,0.1,29,18,11,0.620689655,0.281731327,5.517892505
www.cam.ac.uk,0.1,49,32,17,0.653061224,0.309308152,4.899788282
www.cam.ac.uk,0.1,69,40,29,0.579710145,0.292385982,5.501531856
www.cam.ac.uk,0.1,89,59,30,0.662921348,0.29547209,5.090942158
www.cam.ac.uk,0.1,109,70,39,0.642201835,0.288782989,5.2922244
www.cam.ac.uk,0.1,129,78,51,0.604651163,0.273409163,5.760764447
www.cam.ac.uk,0.1,149,84,65,0.563758389,0.273189563,5.970834287
www.cam.ac.uk,0.2,9,5,4,0.555555556,0.274967047,5.975871262
www.cam.ac.uk,0.2,29,18,11,0.620689655,0.283037793,5.49242261
www.cam.ac.uk,0.2,49,32,17,0.653061224,0.309515281,4.896509312
www.cam.ac.uk,0.2,69,40,29,0.579710145,0.291998019,5.508841468
www.cam.ac.uk,0.2,89,59,30,0.662921348,0.295051597,5.098197528
www.cam.ac.uk,0.2,109,70,39,0.642201835,0.288541429,5.296654935
www.cam.ac.uk,0.2,129,78,51,0.604651163,0.277019798,5.685679493
www.cam.ac.uk,0.2,149,84,65,0.563758389,0.276016529,5.909680887
www.cam.ac.uk,0.3,9,5,4,0.555555556,0.27892857,5.890998092
www.cam.ac.uk,0.3,29,18,11,0.620689655,0.283938998,5.474990007
www.cam.ac.uk,0.3,49,32,17,0.653061224,0.308992186,4.904798654
www.cam.ac.uk,0.3,69,40,29,0.579710145,0.292088417,5.507136535
www.cam.ac.uk,0.3,89,59,30,0.662921348,0.294697019,5.104331648
www.cam.ac.uk,0.3,109,70,39,0.642201835,0.288156628,5.303728023
www.cam.ac.uk,0.3,129,78,51,0.604651163,0.280210715,5.62093347
www.cam.ac.uk,0.3,149,84,65,0.563758389,0.2783947,5.859197775
www.cam.ac.uk,0.4,9,5,4,0.555555556,0.284408958,5.777482121
www.cam.ac.uk,0.4,29,18,11,0.620689655,0.284420666,5.465718081
www.cam.ac.uk,0.4,49,32,17,0.653061224,0.307693792,4.925495722
www.cam.ac.uk,0.4,69,40,29,0.579710145,0.292623627,5.497063956
