ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.ru.ac.za,0,9,0,9,0,0.517379045,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0,29,1,28,0.034482759,0.478014946,13.79758737,
www.ru.ac.za,0,49,12,37,0.244897959,0.547506094,4.52026701,
www.ru.ac.za,0,69,23,46,0.333333333,0.470112085,4.512371432,
www.ru.ac.za,0,89,29,60,0.325842697,0.474589109,4.520889227,
www.ru.ac.za,0,109,40,69,0.366972477,0.473801136,4.267099651,
www.ru.ac.za,0,129,44,85,0.341085271,0.48010087,4.36799018,
www.ru.ac.za,0,149,57,92,0.382550336,0.493426085,4.013093067,
www.ru.ac.za,0.1,9,0,9,0,0.512315918,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.1,29,1,28,0.034482759,0.478266388,13.79033347,
www.ru.ac.za,0.1,49,12,37,0.244897959,0.540901096,4.575464445,
www.ru.ac.za,0.1,69,23,46,0.333333333,0.473734225,4.477870145,
www.ru.ac.za,0.1,89,29,60,0.325842697,0.474829129,4.518603975,
www.ru.ac.za,0.1,109,40,69,0.366972477,0.474977765,4.256529061,
www.ru.ac.za,0.1,129,44,85,0.341085271,0.484466091,4.32863295,
www.ru.ac.za,0.1,149,57,92,0.382550336,0.493429656,4.013064021,
www.ru.ac.za,0.2,9,0,9,0,0.507486482,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.2,29,1,28,0.034482759,0.478837663,13.77388098,
www.ru.ac.za,0.2,49,12,37,0.244897959,0.53417306,4.633093501,
www.ru.ac.za,0.2,69,23,46,0.333333333,0.476795426,4.449120583,
www.ru.ac.za,0.2,89,29,60,0.325842697,0.47488777,4.518046003,
www.ru.ac.za,0.2,109,40,69,0.366972477,0.475794241,4.249224747,
www.ru.ac.za,0.2,129,44,85,0.341085271,0.487883589,4.298312001,
www.ru.ac.za,0.2,149,57,92,0.382550336,0.493491761,4.012558987,
www.ru.ac.za,0.3,9,0,9,0,0.502897636,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.3,29,1,28,0.034482759,0.479567194,13.75292777,
www.ru.ac.za,0.3,49,12,37,0.244897959,0.527366386,4.692892459,
www.ru.ac.za,0.3,69,23,46,0.333333333,0.479486194,4.424153126,
www.ru.ac.za,0.3,89,29,60,0.325842697,0.474801514,4.518866789,
www.ru.ac.za,0.3,109,40,69,0.366972477,0.476362829,4.244152857,
www.ru.ac.za,0.3,129,44,85,0.341085271,0.490297697,4.277148151,
www.ru.ac.za,0.3,149,57,92,0.382550336,0.493530717,4.012242257,
www.ru.ac.za,0.4,9,0,9,0,0.498593428,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.4,29,1,28,0.034482759,0.480330453,13.73107398,
www.ru.ac.za,0.4,49,12,37,0.244897959,0.52053217,4.754506782,
www.ru.ac.za,0.4,69,23,46,0.333333333,0.481996449,4.401111972,
www.ru.ac.za,0.4,89,29,60,0.325842697,0.474642652,4.520379243,
www.ru.ac.za,0.4,109,40,69,0.366972477,0.476813153,4.240144489,
www.ru.ac.za,0.4,129,44,85,0.341085271,0.491678183,4.265139191,
www.ru.ac.za,0.4,149,57,92,0.382550336,0.49350551,4.012447191,
www.ru.ac.za,0.5,9,0,9,0,0.494692748,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.5,29,1,28,0.034482759,0.481022532,13.71131816,
www.ru.ac.za,0.5,49,12,37,0.244897959,0.513730508,4.817455256,
www.ru.ac.za,0.5,69,23,46,0.333333333,0.484511978,4.378261917,
www.ru.ac.za,0.5,89,29,60,0.325842697,0.474511028,4.521633145,
www.ru.ac.za,0.5,109,40,69,0.366972477,0.477274816,4.236043037,
www.ru.ac.za,0.5,129,44,85,0.341085271,0.492010294,4.262260185,
www.ru.ac.za,0.5,149,57,92,0.382550336,0.493408452,4.013236478,
www.ru.ac.za,0.6,9,0,9,0,0.491494719,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.6,29,1,28,0.034482759,0.481547737,13.69636377,
www.ru.ac.za,0.6,49,12,37,0.244897959,0.507035099,4.881069845,
www.ru.ac.za,0.6,69,23,46,0.333333333,0.487186641,4.35422519,
www.ru.ac.za,0.6,89,29,60,0.325842697,0.474522856,4.521520434,
www.ru.ac.za,0.6,109,40,69,0.366972477,0.477836831,4.231060754,
www.ru.ac.za,0.6,129,44,85,0.341085271,0.491305883,4.268371214,
www.ru.ac.za,0.6,149,57,92,0.382550336,0.493230807,4.014681912,
www.ru.ac.za,0.7,9,0,9,0,0.489711959,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.7,29,1,28,0.034482759,0.481860133,13.68748423,
www.ru.ac.za,0.7,49,12,37,0.244897959,0.500531694,4.944489561,
www.ru.ac.za,0.7,69,23,46,0.333333333,0.490004618,4.329184393,
www.ru.ac.za,0.7,89,29,60,0.325842697,0.47483712,4.518527932,
www.ru.ac.za,0.7,109,40,69,0.366972477,0.478476713,4.225402422,
