ip,alpha,total,failed,succeeded,lossProbability,ertt,rttAvg,throughput
www.sfu.ca,0.0,9,0,9,0.0,0.263227939606,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,29,0,29,0.0,0.265880823135,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,49,0,49,0.0,0.281569004059,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,69,0,69,0.0,0.26965713501,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,89,0,89,0.0,0.245882987976,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,109,0,109,0.0,0.246833086014,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,129,0,129,0.0,0.262209892273,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.0,149,0,149,0.0,0.259531021118,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,9,0,9,0.0,0.261866593196,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,29,0,29,0.0,0.267006516904,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,49,0,49,0.0,0.280305176796,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,69,0,69,0.0,0.26809987159,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,89,0,89,0.0,0.247550347409,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,109,0,109,0.0,0.249825234746,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,129,0,129,0.0,0.26276870584,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.1,149,0,149,0.0,0.259560139846,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,9,0,9,0.0,0.26089338731,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,29,0,29,0.0,0.26776941441,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,49,0,49,0.0,0.278790196644,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,69,0,69,0.0,0.266800430456,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,89,0,89,0.0,0.249295445496,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,109,0,109,0.0,0.252481774256,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,129,0,129,0.0,0.263437066706,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.2,149,0,149,0.0,0.259712323149,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,9,0,9,0.0,0.260252891523,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,29,0,29,0.0,0.268154414368,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,49,0,49,0.0,0.277088019906,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,69,0,69,0.0,0.265847032141,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,89,0,89,0.0,0.251088750498,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,109,0,109,0.0,0.254751556228,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,129,0,129,0.0,0.264092635885,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.3,149,0,149,0.0,0.260180237388,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,9,0,9,0.0,0.259977296874,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,29,0,29,0.0,0.268191334191,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,49,0,49,0.0,0.27527119089,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,69,0,69,0.0,0.26523992903,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,89,0,89,0.0,0.252902187771,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,109,0,109,0.0,0.256584400652,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,129,0,129,0.0,0.264625314893,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.4,149,0,149,0.0,0.261026997465,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,9,0,9,0.0,0.260225113481,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,29,0,29,0.0,0.267943234016,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,49,0,49,0.0,0.273423049103,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,69,0,69,0.0,0.264902885335,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,89,0,89,0.0,0.254713093309,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,109,0,109,0.0,0.257948137679,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,129,0,129,0.0,0.264931825156,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.5,149,0,149,0.0,0.262185833983,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,9,0,9,0.0,0.261372525402,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,29,0,29,0.0,0.267490171234,0.269556407271,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,49,0,49,0.0,0.271617753656,0.26824952145,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,69,0,69,0.0,0.264704179298,0.266934695451,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,89,0,89,0.0,0.256507494792,0.26537967264,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,109,0,109,0.0,0.258851975712,0.264681262707,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,129,0,129,0.0,0.264938200233,0.264779582504,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,149,0,149,0.0,0.263478155316,0.264756791544,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,9,0,9,0.0,0.264202839132,0.270912832684,No se han perdido paquetes, no se puede calcular el throughput
